رقم الخط,المسار,المواقف,التعريفة
2,الجامعة الأمريكية - شارع التسعين - محور المشير - امتداد رمسيس - كوبري الفجري - سكة الوايلي - قسم الحدائق,الجامعة الأمريكية، قسم الحدائق,25
7,العمرانية - الجيزة - كوبري الجامعة - فم الخليج - السيدة زينب - شارع بورسعيد - شارع الأزهر - عتبه (الجراج),العتبة (الجراج),20
/8,نزلة البطران - المريوطية - شارع الهرم - الجيزة - شارع مراد - القصر العيني - عبد المنعم رياض - احمد حلمي,عبد المنعم رياض، أحمد حلمي,20
ط8,مسرة - شارع شبرا - المظلات - سعد سليم - ترعة الاسماعيلية - ش بورسعيد - حدائق القبة - العباسية,مسرة، المظلات، العباسية,20
11,إبراهيم بك 1 - ميدان المطريه - ابو بكر الصديق - ميدان الحلميه - ميدان الجلاء - السبع عمارات - ميدان الساعة,المطرية، ميدان الساعة,20
16,میدان لبنان - أحمد عرابي - شارع النيل - كوبري اكتوبر - شارع رمسيس - شارع شبرا - مظلات - مساكن الوحدة,المظلات,20
20,امبابة - الكيت كات - شارع النيل - شارع السراي - ميدان فم الخليج - شارع مجرى العيون - ميدان السيدة عائشه - الاباجيه,الأباجية,25
24ط,الحي السابع - الخليفة القاهر - جامعة الأزهر - طريق النصر - ميدان الفردوس - ميدان البعوث - الدراسة,الحي السابع، الدراسة,20
/24,إبراهيم بك (1) - كوبري أحمد عرابي - المظلات - شارع شبرا - نفق التعاون - القللي - عبد المنعم رياض ()2,المظلات، عبد المنعم رياض,20
28,ام بيومي - كوبري عرابي - ابو وافية - احمد حلمي - احمد بدوي القللي - عبد المنعم رياض ()2,ابو وافية، أحمد حلمي، عبد المنعم رياض,20
32,المظلات - شارع أحمد حلمى - ميدان المؤسسة بشبرا الخيمة - الطريق الزراعي - مشتهر - مرصفا,المظلات، أحمد حلمي,20
/35,مساكن الحلمية - شارع جسر السويس - ميدان الحجاز - ميدان روكسي - رمسيس - عبد المنعم رياض ()2,مساكن الحلمية، عبد المنعم رياض,20
36ط,زاوية ابو مسلم - ابو النمرس - ميدان المنيب - شارع ربيع الجيزى . ميدان الجيزة - جامعة القاهرة - عبد المنعم رياض (1),عبد المنعم رياض,20
38,مساكن الأميرية - السواح - ابو وافية - احمد حلمى - شارع الجلاء - عبد المنعم رياض ()2,الأميرية، ابو وافية، أحمد حلمي,20
43,المطرية - ترعة الجبل - حدائق القبة - مصر والسودان - عباسية - ميدان الجيش - باب الشعرية - عتبة (الجراج),المطرية، العباسية، العتبة (الجراج),20
65,المماليك - شارع بورسعيد - ميدان باب الشعرية - ميدان الجيش - شارع أحمد سعيد - شارع مصطفى النحاس - الحي الثامن,المماليك، الحي الثامن,20
69,التجمع الأول - الحي الثامن - جامعة الازهر - طريق النصر - العباسية - ميدان رمسيس - شارع نجيب الريحاني - عتبة (الجنينة),التجمع الأول، الحي الثامن، العباسية، العتبة (الجنينة),20
//69,الحي الثامن - جامعة الازهر - طريق النصر - العباسية - ميدان رمسيس شارع نجيب الريحاني - عتبة (الجنينة),الحي الثامن، العباسية، العتبة (الجنينة),20
77,المظلات - شارع شبرا - العتبة - أحمد ماهر - القلعة - السيدة عائشة - الامام الشافعي - البساتين,المظلات، البساتين,20
/80,الطوب الرملي - شارع مصطفى النحاس - جامعة الازهر - طريق النصر - مدينة البعوث - الدراسة,الطوب الرملي، الدراسة,20
86,وراق العرب - شارع الوحدة - شارع النيل - الكيت كات - العجوزة قصر العيني - فم الخليج - السيدة عائشة - الأباجية,الأباجية,20
96,أثر النبى - شارع كورنيش النيل - شارع المنيل - شارع جامعة القاهرة - ميدان الدقي - شارع السودان - بولاق الدكرور,أثر النبي,20
106,المنيب - شارع ربيع الجيزى - ميدان الجيزة - جامعة القاهرة - شارع قصر العيني - تحرير - عتبة (الجراج),العتبة (الجراج),20
111,جزيرة محمد - وراق الحضر - كيت كات - بولاق الدكرور - جامعة القاهرة - فم الخليج - الأباجية,الأباجية,20
121,البدرشين - طريق الصعيد - المنيب - شارع ربيع الجيزى - ميدان الجيزة - جامعة القاهرة,-,20
123,أم خنان - طريق القاهرة / الصعيد - المنيب - جامعة القاهرة - القصر العينى - تحرير - عبد المنعم رياض (1),عبد المنعم رياض,20
125,العياط - مزغونة - طريق الصعيد - المنيب - شارع ربيع الجيزى - ميدان الجيزة,-,20
/125,العياط - مزغونة - طريق الصعيد - المنيب - شارع ربيع الجيزى - ميدان الجيزة,-,20
132,التجمع الأول - زهراء مدينة نصر - شارع الطيران - شارع صلاح سالم - عباسية - رمسيس - عبد المنعم رياض ()2,التجمع الأول، العباسية، عبد المنعم رياض,20
154,البساتين - شارع الكردى - السيدة عائشة - القلعة - السيدة زينب - تحرير - عبد المنعم رياض (1),البساتين، عبد المنعم رياض,20
158,قليوب المحطة - كوم اشفين - طريق بلقس - ترعة الاسماعيلية - شارع سعد سليم - شارع شبرا - العتبة (الجنينة),العتبة (الجنينة),20
/160,صقر قريش - البساتين - السيدة عائشة - السيدة زينب - أحمد ماهر - حسن الأكبر - عبد المنعم رياض (1),صقر قريش، البساتين، عبد المنعم رياض,20
167,زنين - بين السرايات - جامعة القاهرة - قصر العيني - ميدان السيدة زينب - شارع الجيش - الدراسة,الدراسة,20
186,الدراسة - العتبة - التحرير - كوبري الجلاء - شارع التحرير - الدقي - شارع السودان - بولاق الدكرور,الدراسة,20
201,اوسيم - بشتيل - شارع السودان - شارع النيل - شارع نهضة مصر - شارع جامعة القاهرة - ميدان الجيزة,-,20
203,أم بيومي - كوبري عرابي - المظلات - شارع شبرا - ميدان التحرير - الدقي - شارع السودان - بولاق الدكرور,المظلات,20
211,قليوب البلد - مصر / إسكندرية الزراعي - ميدان المؤسسة - شارع كورنيش النيل - عبد المنعم رياض ()1,عبد المنعم رياض,20
212,القناطر الخيرية - مصر / الاسكندرية الزراعي - كورنيش النيل - القللي - شارع نجيب الريحاني - عتبة (الجنينة),العتبة (الجنينة),20
216,"طنان - طريق منيا القمح - القاهرة اسكندرية ""الزراعي"" - ميدان المؤسسة - كوبري المظلات - شارع شبرا - عتبة (الجنينة)",المظلات، العتبة (الجنينة),20
/216,السد - طنان الزهويين - طريق شبين القناطر / قليوب - القاهرة / اسكندريه الزراعى - كوبري المظلات - شارع شبرا - عتبة (الجنينة),المظلات، العتبة (الجنينة),20
222,وردان - منشأة القناطر - الوراق - شارع النيل - المطابع الأميرية - امبابة,الأميرية,20
235,السيدة نفيسة - القلعة - باب الخلق - تحرير - شارع الترعة البولاقية شارع شبرا - 15 مايو - شرق شبرا الخيمة,السيدة نفيسة,20
290,مساكن الأميرية - المسلة - مسطرد - شارع ترعة الإسماعيلية - شارع سعد سليم - شارع شبرا - احمد حلمي,الأميرية، أحمد حلمي,20
306,مساكن الاميرية - السواح - باب الشعرية - السيدة زينب - مجرى العيون - كوبري الجامعة - شارع جامعة القاهرة - ميدان الجيزة,الأميرية,20
318,مساكن عين شمس - شارع 6 أكتوبر - شارع عبد الحميد بدوي - طريق المطار - مطار القاهرة,مساكن عين شمس، مطار القاهرة,20
354,النزهة الجديدة - الألف مسكن - ميدان الحجاز - السبع عمارات - طريق القاهرة السويس - الجامعة الأمريكية,النزهة الجديدة، الجامعة الأمريكية,25
356,مطار القاهرة - عبد الحميد بدوي - الحجاز - الأهرام - روكسي - عباسية - رمسيس - عبد المنعم رياض (2),مطار القاهرة، العباسية، عبد المنعم رياض,25
366,مطار القاهرة - ش 6 أكتوبر - عين شمس - المسلة - السواح - شارع سعد سليم - شارع شبرا - أحمد حلمي,مطار القاهرة، عين شمس، أحمد حلمي,20
400,مطار القاهرة - طريق المطار - سفير - عثمان بن عفان - روكسي عباسية - عبد المنعم رياض ()2,مطار القاهرة، العباسية، عبد المنعم رياض,20
407,مساكن الاسمرات - مساكن ال 70 فدان - الطريق الدائري - السيدة عائشة - شارع بورسعيد - أحمد ماهر - احمد حلمي,الأسمرات، أحمد حلمي,20
430,المطبعة - كورنيش النيل - فم الخليج - السيدة زينب - شارع بورسعيد - باب الشعرية - العباسية - الأميرية,المطبعة، العباسية، الأميرية,20
555,المنيب - ميدان الجيزة - فم الخليج - السيدة عائشة - الأوتوستراد - جامعة الازهر - كلية البنات الاسلامية,كلية البنات الاسلامية,20
573,المنيب - شارع ربيع الجيزى - الطريق الدائرى - كارفور - شارع التسعين - ميدان فاطمة الشربتلي - الألف مصنع بالقاهرة الجديدة,الألف مصنع,20
579,العباسية - امتداد رمسيس - جامعة الأزهر - زهراء مدينة نصر - شارع التسعين - الألف مصنع بالقاهرة الجديدة,العباسية، الألف مصنع,20
582,مساكن الأسمرات بالمقطم - محور الشهيد - شارع عبد الله العربي - الأوتوستراد - شارع أحمد سعيد - باب الشعرية - العتبة (الجراج),الأسمرات، المقطم، العتبة (الجراج),20
724,الخصوص - مسطرد - المظلات - شارع شبرا - شارع الجلاء - عبد المنعم رياض ()2,المظلات، عبد المنعم رياض,20
812,العمرانية - ربيع الجيزي - الجيزة - الدقى - رمسيس - أحمد سعيد - مصر والسودان - قسم الحدائق,قسم الحدائق,20
814,بولاق الدكرور - شارع السودان - الدقى - التحرير - المنيل - نفق الملك الصالح - القلعة,-,20
815,الدراسة - البعوث - احمد ماهر - تحرير - الدقى - نادى الصيد - شهاب - شارع السودان - بشتيل,الدراسة,20
820,العمرانية - ميدان الجيزة - قصر العيني - التحرير - رمسيس - احمد حلمي - المظلات 15- مايو - ابراهيم بك 1,أحمد حلمي، المظلات,20
824,ابو وافية - احمد حلمى - عتبة - السيدة عائشة - الامام الشافعي - المجزر الآلى - مساكن بيتشو,ابو وافية، أحمد حلمي، مساكن بيتشو,20
831,الزاوية الحمراء - شارع بورسعيد - ميدان باب الشعرية - عتبة - ابو الريش - حدائق زينهم,الزاوية الحمراء، حدائق زينهم,20
833,أم بيومي - طريق بيجام - المظلات - شارع شبرا - شارع رمسيس - ميدان التحرير - شارع قصر العيني - جيزة موتسيان,المظلات,20
888,المنيب - ميدان الجيزة - القصر العيني - التحرير - شارع رمسيس - احمد حلمی,أحمد حلمي,20
912,ميدان الجيزة - كورنيش النيل - فم الخليج - السيدة عائشة - الأوتوستراد الحي السادس - الحي العاشر - التجمع الأول,التجمع الأول,20
917,قليوب البلد - مصر / إسكندرية الزراعي - ميدان المؤسسة - شارع مجلس المدينة - شارع كورنيش النيل - شارع شبرا - عتبة (الجنينة),العتبة (الجنينة),20
918,شبين القناطر - مصر / إسكندرية الزراعي - شبرا الخيمة - شارع عرابي - عتبة (الجنينة),العتبة (الجنينة),20
922,صقر قريش - البساتين - القلعة - شارع بورسعيد - شارع الجيش - شارع العباسية - عباسية,صقر قريش، البساتين، العباسية,20
923,طوخ - طريق الاسكندرية الزراعي - ميدان المؤسسة - شارع أحمد حلمي - احمد حلمي,أحمد حلمي,20
923,مساكن بيتشو - الاباجية - صلاح سالم - السيدة عائشة - مجرى العيون - فم الخليج - جامعة القاهرة - ميدان الجيزة - المنيب,مساكن بيتشو، الأباجية,20
925,روض الفرج - شارع شبرا - السواح - المطرية - شارع جسر السويس أكتوبر 6 - مطار القاهرة,روض الفرج، المطرية، مطار القاهرة,20
927,شرق شبرا الخيمة - مسطرد - المطرية - التجنيد - سفير - السبع عمارات - ألماظة - الهجانة - مساكن ألماظة,المطرية، مساكن الماظة,20
931,الزاوية الحمراء - شارع بورسعيد - السيدة زينب - فم الخليج - جامعة القاهرة - ميدان الجيزة - المنيب,الزاوية الحمراء,20
936,القلج - طريق القلج / المرج - موقف المرج - الطريق الدائري - جسر السويس - مطار القاهرة,مطار القاهرة,20
953,القناطر الخيرية - طريق أبو الغيط - طريق مصر اسكندرية الزراعي المؤسسة -كورنيش النيل - عبد المنعم رياض (1),عبد المنعم رياض,20
955,الهايكستب - جسر السويس - الحجاز - النزهة - روكسي - عباسية - رمسيس - عبد المنعم رياض ()2,الهايكستب، العباسية، عبد المنعم رياض,20
967,ابراهيم بك (1) كوبري عرابي - عبود - المظلات - شارع شبرا - احمد حلمى - نجيب الريحاني - عتبة (الجنينة),المظلات، أحمد حلمي، العتبة (الجنينة),20
969,الطوب الرملي - مصطفى النحاس - جامعة الأزهر - طريق النصر - امتداد رمسيس - عبد المنعم رياض ()2,الطوب الرملي، عبد المنعم رياض,20
982,الحوامدية - كوبري الحوامدية - طريق القاهرة الصعيد - المنيب - ربيع الجيزي - جامعة القاهرة,-,20
988,البدرشين - المنيب - جامعة القاهرة - تحرير - شارع رمسيس - احمد حلمی,أحمد حلمي,20
990,مساكن عين شمس - جسر السويس - الحجاز - السيدة عائشة - قصر العيني - ميدان الجيزة,مساكن عين شمس، عين شمس,20
992,أم بيومي - كوبري عرابي - المظلات - الخلفاوى - شارع شبرا - القللي - العتبة (الجنينة),المظلات، العتبة (الجنينة),20
997,كهرباء الاهرام - شارع الهرم - ميدان الجيزة - ميدان التحرير - الفلكي شارع بورسعيد - عتبه (الجراج),العتبة (الجراج),20
1001,التجمع الأول القاهرة الجديدة) - زهراء مدينة نصر - عباسية - لطفي السيد - رمسيس - عبد المنعم رياض ()2,التجمع الأول، العباسية، عبد المنعم رياض,25 - 20
1002,مساكن عين شمس - جسر السويس - ميدان الحجاز - الأوتوستراد - السيدة عائشة - فم الخليج - المطبعة,مساكن عين شمس، عين شمس، المطبعة,20
1008,صقر قريش - البساتين - السيدة عائشة - القلعة - شارع بورسعيد ميدان العتبة - شارع شبرا - مساكن الوحدة,صقر قريش، البساتين,20
1009,مساكن بيتشو - زهراء المعادي - العرب - كورنيش النيل - فم الخليج - شارع بورسعيد - السيدة زينب - عتبة (الجراج),مساكن بيتشو، العتبة (الجراج),20
1011,مساكن ألماظة - الهجانة - الأوتوستراد - صلاح سالم - السيدة عائشة - فم الخليج - القصر العينى - ميدان الجيزة - المنيب,مساكن الماظة,20
1012,التجمع الأول - زهراء مدينة نصر - أحمد الزمر - شارع عباس العقاد - جامعه الازهر - الأوتوستراد - عتبة (الجراج),التجمع الأول، العتبة (الجراج),20
1015,المنيب - مجرى العيون - السيدة عائشة - الأوتوستراد - جامعة الأزهر - مصطفى النحاس - التبة - التجمع الأول,التجمع الأول,20
1017,مدينة 6 أكتوبر الحي السادس) - محور 26 يوليو - الطريق الدائري - طريق مصر إسكندرية الزراعي - غرب شبرا الخيمة,-,25
1019,التجمع الاول - زهراء مدينة نصر - الأوتوستراد - عباسية - السيدة زينب - مساكن زينهم,التجمع الأول، العباسية,20
1024,القطامية الأوتوستراد - ميدان السيدة عائشة - باب الخلق حسن الأكبر ميدان التحرير - عبد المنعم رياض - احمد حلمی,القطامية، عبد المنعم رياض، أحمد حلمي,20
1026,المقطم - الأوتوستراد - شارع صلاح سالم - السيدة عائشة - ميدان القلعة - شارع بورسعيد - عبد المنعم رياض (1),المقطم، عبد المنعم رياض,20
1028,ابراهيم بك () 2- مسطرد - شارع بورسعيد - السيدة زينب - كورنيش جامعه القاهرة - ميدان الجيزة - ربيع الجيزى - المنيب,-,20
1031,مساكن بيتشو - القلعة - ميدان باب الخلق - حسن الأكبر - تحرير - كوبري الجلاء - شارع النيل - امبابة,مساكن بيتشو,20
1035,شرق شبرا الخيمة - المظلات - ترعة الاسماعيلية - السواح - شارع بورسعيد - حدائق القبة - جامعة عين شمس - العباسية,المظلات، عين شمس، العباسية,20
1037,المطبعة - البساتين - السيدة عائشة - شارع بورسعيد - شارع الجيش - شارع امتداد رمسيس - العباسية,المطبعة، البساتين، العباسية,20
1045,المنيب - جامعة القاهرة - السيدة زينب - شارع بورسعيد - میدان باب الشعرية - أحمد سعيد - العباسية,العباسية,20
1046,المنيب - ميدان الجيزة - المنيل - السيدة عائشة - شارع مصر والسودان - ميدان حدائق القبة - قسم الحدائق,قسم الحدائق,20
1048,الحي السابع - طريق الاوتوستراد - صلاح سالم - شارع القصر العيني - جامعة القاهرة - الجيزة - المنيب,الحي السابع,20
1051,شرق شبرا الخيمة - ترعة الإسماعيلية - مسطرد - السواح - شارع المطرية - المطرية - الحجاز - مطار القاهرة,المطرية، مطار القاهرة,20
1052,القناطر الخيرية - طريق القاهرة / الإسكندرية الزراعي - ميدان المؤسسة - شبرا المظلات - شارع شبرا - العتبة (الجنينة),المظلات، العتبة (الجنينة),20
1055,مؤسسة الزكاة - الطريق الدائرى - طريق القاهرة الاسكندرية الزراعي المؤسسة - احمد حلمى,مؤسسة الزكاة، أحمد حلمي,20
1059,مساكن الاميرية - السواح - شارع بورسعيد - ميدان باب الشعرية - ميدان السيدة زينب - حدائق زينهم,الأميرية، حدائق زينهم,20
1062,الجامعة الأمريكية القاهرة الجديدة - شارع التسعين - محور المشير - امتداد رمسيس - ميدان العباسية - عبد المنعم رياض ()2,الجامعة الأمريكية، العباسية، عبد المنعم رياض,25
1064,التجمع الثالث - شارع التسعين - زهراء مدينة نصر - عباسية - رمسيس شارع نجيب الريحاني - العتبة (الجنينة),التجمع الثالث، العباسية، العتبة (الجنينة),20
1065,الحي السابع - ميدان رابعة العدوية - صلاح سالم - العباسية - باب الشعرية - تحرير - دقى - ميدان لبنان,الحي السابع، العباسية,20
1068,ميدان لبنان - كيت كات - كوبري اكتوبر - اسعاف - عتبة - باب الشعرية - ميدان الجيش - العباسية,العباسية,20
1069,المنيب - ميدان الجيزة - جامعة القاهرة - كوبري الجامعة - ميدان السيدة زينب - شارع بورسعيد - عتبة (الجراج),العتبة (الجراج),20
1070,المنيب - الجيزة - جامعة القاهرة - إمتداد رمسيس - جامعة الازهر - مصطفى النحاس - الحي الثامن,الحي الثامن,20
1071,المريوطية - كوبري الجيزة - المنيل - شارع قصر العيني - ميدان التحرير ميدان الخلفاوي - مساكن الوحدة,-,20
1072,مساكن الوحدة - المظلات - شارع شبرا - الإسعاف - الجلاء - التحرير - الفلكي - السيدة زينب - الصليبة - القلعة - الأباجية,المظلات، الأباجية,20
1076,مؤسسة الزكاة - ميدان أبن سندر - ميدان عباسية - ميدان الجيش - شارع بورسعيد - باب الشعرية - العتبة (الجراج),مؤسسة الزكاة، العباسية، العتبة (الجراج),20
1084,صقر قريش - السيدة عائشة - مجرى العيون - فم الخليج - جامعة القاهرة - ميدان الدقي - ميدان لبنان,صقر قريش,20
1085,المقطم - السيدة عائشة - السيدة زينب - ميدان التحرير - ميدان الدقى - شارع السودان - بولاق الدكرور,المقطم,20
1088,مدينة 15 مايو المرحلة الثالثة) - الأوتوستراد - الاباجية - نادي السكة الحديد - امتداد رمسيس - العباسية,مدينة 15 مايو، الأباجية، العباسية,25
1090,الأميرية - شارع بورسعيد - غمرة - رمسيس - تحرير - القلعة - شارع صلاح سالم - الاباجية,الأميرية، الأباجية,20
1096,الواحة - الطوب الرملي - شارع مصطفى النحاس - الأوتوستراد - السيدة عائشة - فم الخليج - ميدان الجيزة - المنيب,الواحة، الطوب الرملي,20
1097,الحي الثامن - شارع مصطفى النحاس - جامعة الازهر - شارع امتداد رمسيس - عباسية - رمسيس - ش السودان - میدان لبنان,الحي الثامن، العباسية,20
1103,شرق شبرا الخيمة - المظلات - الوايلى - حدائق القبة - كوبري الفنجرى - جامعة الازهر - زهراء مدينة نصر - التجمع الأول,المظلات، التجمع الأول,20
1104,عين شمس - ميدان النعام - ميدان الحلمية - ميدان السواح - شارع ترعه الإسماعيلية - شبرا - أحمد حلمي,عين شمس، أحمد حلمي,20
1105,قسم الحدائق - عباسية - ميدان الجيش - شارع بورسعيد ميدان السيدة زينب - ميدان الجيزة - العمرانية,قسم الحدائق، العباسية,20
1107,القطامية - طريق الأوتوستراد - السيدة عائشة - مجرى العيون - ميدان فم الخليج - الكيت كات - إمبابة,القطامية,20
1111,التجمع الثالث - شارع التسعين - محور المشير - حى السفارات - كوبري الفنجري - ميدان حدائق القبة - شرق شبرا الخيمة,التجمع الثالث,25
1121,النزهة الجديدة - ميدان الحجاز - عثمان بن عفان - روكسي - عباسية - رمسيس - عبد المنعم رياض ()2,النزهة الجديدة، العباسية، عبد المنعم رياض,20
1123,قسم الحدائق - مصر والسودان - العتبة - 26 يوليو - ميدان سفنكس - جامعة الدول العربية - بولاق الدكرور,قسم الحدائق,20
1125,وراق العرب - شارع النيل - كوبري 6 أكتوبر - رمسيس - نجيب الريحاني - الجيش - فخري عبد النور - العباسية,العباسية,20
1126,الطوب الرملي - النبوي المهندس - جامعة الأزهر - احمد سعيد - شارع بورسعيد - ميدان التحرير - الدقي - بولاق الدكرور,الطوب الرملي,20
1127,بولاق الدكرور - شارع السودان - كوبري الجامعة - فم الخليج - السيدة عائشة - محور الفردوس الجديد - التجمع الثالث,التجمع الثالث,20
1128,مساكن الأسمرات بالمقطم - السبعين فدان - الدائري - القلعة - حسن الأكبر - تحرير - أحمد حلمي - المظلات,الأسمرات، المقطم، المظلات، أحمد حلمي,20
1129,الأميرية - حدائق القبة - صلاح سالم - فم الخليج - ميدان الجيزة - ربيع الجيزي - المنيب,الأميرية,20
1130,التجمع الأول - الحي العاشر - مكرم عبيد - طريق النصر - امتداد رمسيس - العباسية - عبد المنعم رياض ()2,التجمع الأول، العباسية، عبد المنعم رياض,20
1132,المطبعة - الطريق الزراعى - الأوتوستراد - البساتين - باب الخلق - تحرير - رمسيس - احمد حلمي,المطبعة، البساتين، أحمد حلمي,20
1133,بولاق الدكرور - ميدان التحرير - شارع شبرا - كوبري احمد عرابي - مساكن الوحدة العربية,-,20
1138,مطار القاهرة - صلاح سالم - العباسية - رمسيس - نفق التعاون - الترعة البولاقية - شبرا - المظلات,"مطار القاهرة، العباسية, المظلات",20
1142,مساكن الأسمرات - الطريق الدائري - الأوتوستراد - السيدة عائشة - مجرى العيون - شارع الروضة - ميدان الجيزة,الأسمرات,20
1143,ابراهيم بك (1) - شارع 15 مايو - كوبري عرابي - شارع شبرا - شارع الجلاء - تحرير - كورنيش النيل - شارع المنيل - المماليك,المماليك,20
1144,الأباجية - السيدة عائشة - باب الخلق - العتبة - أحمد حلمي - المظلات - كوبري عرابي - ابراهيم بك (1),الأباجية، المظلات، أحمد حلمي,20
1145,كهرباء الأهرام - ش الهرم - ميدان الجيزة - جامعة القاهرة - قصر العيني - التحرير - شارع رمسيس - شارع شبرا - المظلات,المظلات,20
1146,إبراهيم بك () 2- كوبري مسطرد - ميدان المطرية - التجنيد - المحكمة - الحجاز - مساكن الشيراتون,المطرية، مساكن شيراتون,20
1148,مدينة السلام ( سبيكو ) - موقف العاشر - جسر السويس - العباسية عبد المنعم رياض ()2,مدينة السلام (سبيكو)، العباسية، عبد المنعم رياض,20
1151,مساكن الأسمرات بالمقطم - عبد الله العربي - الخليفة القاهر - إمتداد رمسيس - العباسية - عبد المنعم رياض ()2,الأسمرات، المقطم، العباسية، عبد المنعم رياض,20
1153,حلوان - كورنيش النيل - فم الخليج - شارع القصر العينى - ميدان التحرير - عبد المنعم رياض ()2,حلوان، عبد المنعم رياض,20
خدمة,الروبيكي - ش جهاز مدينة بدر - طريق السويس - الأوتوستراد - ش صلاح سالم - السيدة عائشة - مجرى العيون - مستشفى 57357,الروبيكي، مدينة بدر، 57357,20
خدمة,الأسمرات - محور المشير - شارع التسعين - الغاز - ميدان الحمد - ميدان أربيلا - الزلزال - القطامية,الأسمرات، القطامية,20
خدمة,مدينة معاً - طريق القاهرة الاسماعيلية - جوزيف تيتو - طريق النصر - صلاح سالم - السيدة عائشة - المماليك,مدينة معاً، المماليك,20
خدمة,مدينة معاً - طريق القاهرة الاسماعيلية - جسر السويس - روكسي - العباسية - رمسيس - عبد المنعم رياض ()2,مدينة معاً، العباسية، عبد المنعم رياض,20
خدمة,البدرشين - الدائرى الأوسطى - نزلة جامعة حلوان - جامعة حلوان,حلوان,20
